,Unnamed: 0,question,distractor3,distractor1,distractor2,correct_answer,support,baseline_answer,question_context,previous_questions_context,baseline_answer_A,question_context_A,previous_questions_context_A
6503,6503,"Birds flying thousands of miles south in the winter, then returning to their homes in spring, is a familiar example of what?",emigration,hibernation,evacuation,migration,"One type of migration that you are probably familiar with is the migration of birds. Maybe you have heard that birds fly south for the winter. In the fall, birds fly thousands of miles to the south where it is warmer. In the spring, they return to their homes. ( Figure below ).",C,D,C,A,A,A
6524,6524,Dew point is the temperature at which what occurs?,precipitation,combustion,fermentation,condensation,"When air is very humid, it doesn’t have to cool very much for water vapor in the air to start condensing. The temperature at which condensation occurs is called the dew point. The dew point varies depending on air temperature and moisture content. It is always less than or equal to the actual air temperature, but warmer air and moister air have dew points closer to the actual air temperature. That’s why glasses of cold drinks “sweat” more on a hot, humid day than they do on a cool, dry day. For more details on the dew point, read the short article at this URL: http://www. kidsgeo. com/geography-for-kids/0108-dew-point. php.",C,D,C,D,A,A
6534,6534,What element can form two different compounds with oxygen?,hydrogen,dioxide,H20,carbon,Carbon can form two different compounds with oxygen.,A,D,A,D,D,D
6537,6537,What is another common term for single-unit smooth muscle?,energies muscle,abnormal muscle,lateral muscle,visceral muscle,"Smooth muscle is organized in two ways: as single-unit smooth muscle, which is much more common; and as multiunit smooth muscle. The two types have different locations in the body and have different characteristics. Single-unit muscle has its muscle fibers joined by gap junctions so that the muscle contracts as a single unit. This type of smooth muscle is found in the walls of all visceral organs except the heart (which has cardiac muscle in its walls), and so it is commonly called visceral muscle. Because the muscle fibers are not constrained by the organization and stretchability limits of sarcomeres, visceral smooth muscle has a stress-relaxation response. This means that as the muscle of a hollow organ is stretched when it fills, the mechanical stress of the stretching will trigger contraction, but this is immediately followed by relaxation so that the organ does not empty its contents prematurely. This is important for hollow organs, such as the stomach or urinary bladder, which continuously expand as they fill. The smooth muscle around these organs also can maintain a muscle tone when the organ empties and shrinks, a feature that prevents “flabbiness” in the empty organ. In general, visceral smooth muscle produces slow, steady contractions that allow substances, such as food in the digestive tract, to move through the body. Multiunit smooth muscle cells rarely possess gap junctions, and thus are not electrically coupled. As a result, contraction does not spread from one cell to the next, but is instead confined to the cell that was originally stimulated. Stimuli for multiunit smooth muscles come from autonomic nerves or hormones but not from stretching. This type of tissue is found around large blood vessels, in the respiratory airways, and in the eyes.",D,D,A,A,D,C
6538,6538,What is the term for the horizontal displacement of a projectile from its starting point?,produce,type,Distance,range,"In projectile motion, the horizontal displacement of an object from its starting point is called its range.",A,D,C,D,D,A
6539,6539,What types of stimuli control endocrine activity?,pressure and chemical,light and pressure,temperature and light,chemical and neural,"Role of Endocrine Gland Stimuli Reflexes triggered by both chemical and neural stimuli control endocrine activity. These reflexes may be simple, involving only one hormone response, or they may be more complex and involve many hormones, as is the case with the hypothalamic control of various anterior pituitary–controlled hormones. Humoral stimuli are changes in blood levels of non-hormone chemicals, such as nutrients or ions, which cause the release or inhibition of a hormone to, in turn, maintain homeostasis. For example, osmoreceptors in the hypothalamus detect changes in blood osmolarity (the concentration of solutes in the blood plasma). If blood osmolarity is too high, meaning that the blood is not dilute enough, osmoreceptors signal the hypothalamus to release ADH. The hormone causes the kidneys to reabsorb more water and reduce the volume of urine produced. This reabsorption causes a reduction of the osmolarity of the blood, diluting the blood to the appropriate level. The regulation of blood glucose is another example. High blood glucose levels cause the release of insulin from the pancreas, which increases glucose uptake by cells and liver storage of glucose as glycogen. An endocrine gland may also secrete a hormone in response to the presence of another hormone produced by a different endocrine gland. Such hormonal stimuli often involve the hypothalamus, which produces releasing and inhibiting hormones that control the secretion of a variety of pituitary hormones. In addition to these chemical signals, hormones can also be released in response to neural stimuli. A common example of neural stimuli is the activation of the fight-or-flight response by the sympathetic nervous system. When an individual perceives danger, sympathetic neurons signal the adrenal glands to secrete norepinephrine and epinephrine. The two.",A,D,A,A,A,D
6542,6542,"What is a collection of fibrin, platelets, and erythrocytes that has accumulated along the lining of a blood vessel called?",clots,atherosclerosis,embolus,thrombus,"thrombosis, can be caused by excessive numbers of platelets. A thrombus is a collection of fibrin, platelets, and erythrocytes that has accumulated along the lining of a blood vessel, whereas an embolus is a thrombus that has broken free from the vessel wall and is circulating in the bloodstream.",C,A,D,A,A,A
6571,6571,"Defined as total distance traveled divided by elapsed speed, average speed is a scalar quantity that does not include what?",size,shift,pressure,direction,• Average speed is the total distance traveled divided by the elapsed time. (Average speed is not the magnitude of the average velocity. ) Speed is a scalar quantity; it has no direction associated with it.,D,D,A,C,A,D
6572,6572,Lymph capillaries collect fluid that leaks out of what?,lymph nodes,bladder,alveoli,blood capillaries,Lymph capillaries collect fluid that leaks out from blood capillaries. The lymphatic vessels return the fluid to the cardiovascular system.,A,A,D,D,A,D
6575,6575,What happens to the mass number during a nuclear decay process by positron emission?,it increases,it rises,it decreases,remains unchanged,"During a nuclear decay process that occurs by positron emission, a proton is converted into a neutron and a positron. The neutron remains in the nucleus, and the positron is expelled. Overall, the atomic number of the parent nucleus increases by one, and the mass number is unchanged. For example, carbon-11 emits a positron to become boron-11:.",C,A,D,D,D,D
6580,6580,Metabolism is the sum of all catabolic and which other reactions in the body?,abolic,inbolic,systic,anabolic,"CHAPTER REVIEW 24.1 Overview of Metabolic Reactions Metabolism is the sum of all catabolic (break down) and anabolic (synthesis) reactions in the body. The metabolic rate measures the amount of energy used to maintain life. An organism must ingest a sufficient amount of food to maintain its metabolic rate if the organism is to stay alive for very long. Catabolic reactions break down larger molecules, such as carbohydrates, lipids, and proteins from ingested food, into their constituent smaller parts. They also include the breakdown of ATP, which releases the energy needed for metabolic processes in all cells throughout the body. Anabolic reactions, or biosynthetic reactions, synthesize larger molecules from smaller constituent parts, using ATP as the energy source for these reactions. Anabolic reactions build bone, muscle mass, and new proteins, fats, and nucleic acids. Oxidation-reduction reactions transfer electrons across molecules by oxidizing one molecule and reducing another, and collecting the released energy to convert Pi and ADP into ATP. Errors in metabolism alter the processing of carbohydrates, lipids, proteins, and nucleic acids, and can result in a number of disease states.",C,D,C,C,A,C
6583,6583,What prevents solutes that have accumulated in the xylem from leaking back into the soil solution?,the altostratus,the exoskeleton,the exodermis,the endodermis,,D,D,C,B,B,D
6600,6600,Light waves differ based on their frequency and what else?,voltage,density,weight,amplitude,"36.5 Vision Vision is the only photo responsive sense. Visible light travels in waves and is a very small slice of the electromagnetic radiation spectrum. Light waves differ based on their frequency (wavelength = hue) and amplitude (intensity = brightness). In the vertebrate retina, there are two types of light receptors (photoreceptors): cones and rods. Cones, which are the source of color vision, exist in three forms—L, M, and S—and they are differentially sensitive to different wavelengths. Cones are located in the retina, along with the dim-light, achromatic receptors (rods). Cones are found in the fovea, the central region of the retina, whereas rods are found in the peripheral regions of the retina. Visual signals travel from the eye over the axons of retinal ganglion cells, which make up the optic nerves. Ganglion cells come in several versions. Some ganglion cell axons carry information on form, movement, depth, and brightness, while other axons carry information on color and fine detail. Visual information is sent to the superior colliculi in the midbrain, where coordination of eye movements and integration of auditory information takes place. Visual information is also sent to the suprachiasmatic nucleus (SCN) of the hypothalamus, which plays a role in the circadian cycle.",D,D,A,D,A,A
6609,6609,Which metal is not a solid even at room temperature?,aluminum,iron,copper,mercury,"A metal is an element that is a good conductor of heat and electricity. Metals are also malleable, which means that they can be hammered into very thin sheets without breaking, and ductile, which means that they can be drawn into wires. When a fresh surface of any metal is exposed, it will be very shiny, because it reflects light well. This property is referred to as luster. All metals are solid at room temperature except mercury (Hg), which is a liquid. The melting points of different metals vary widely. Mercury has the lowest melting point of all pure metals (−39°C), and tungsten (W) has the highest (3422°C). On the periodic table in Figure above , the metals are shaded blue and are located to the left of the bold stair-step line. About 80 percent of the elements are metals (see examples in Figure below ).",B,D,C,A,C,D
6615,6615,The values of which factors are controlled by the experimenter over the course of an experiment?,independent approaches,other variables,independent elements,independent variables,A variable is a factor that can change over the course of an experiment. Independent variables are factors whose values are controlled by the experimenter to determine its relationship to an observed phenomenon (the dependent variable). Dependent variables change in response to the independent variable.,D,D,C,A,D,C
6623,6623,What characteristic of birds is related to the food they eat?,feet,feathers,tail,beak,"The size and shape of the beak is related to the food the bird eats and can vary greatly among different birds. Parrots have down-curved, hooked bills, which are well-adapted for cracking seeds and nuts ( Figure below ). Hummingbirds, on the other hand, have long, thin, pointed bills, which are adapted for getting the nectar out of flowers ( Figure below ). Hawks, eagles, falcons and owls have a sharp, hooked beak.",C,D,C,C,A,A
6635,6635,What is the primary component of steel alloys?,alluminum,carbon,titanium,iron,"Steels are a very important class of alloys. The many types of steels are primarily composed of iron, with various amounts of the elements carbon, chromium, manganese, nickel, molybdenum, and boron. Steels are widely used in building construction because of their strength, hardness, and resistance to corrosion. Most large modern structures like skyscrapers and stadiums are supported by a steel skeleton (see Figure below ).",A,D,C,A,C,C
6639,6639,What according to scientists is the major cause of depression?,high serotonin levels,low thyroid levels,high fat diets,low serotonin levels,"Some people have low levels of the neurotransmitter called serotonin in their brain. Scientists think that this is one cause of depression. Medications called antidepressants help bring serotonin levels back to normal. For many people with depression, antidepressants control the symptoms of their depression and help them lead happy, productive lives.",D,A,D,A,A,A
6641,6641,Momentum is a vector quantity that has the same direction as what?,inertia,object energy,initial speed,object ' s velocity,Momentum is a vector quantity that has the same direction as the velocity of the object.,D,D,A,A,D,A
6642,6642,What type of role does cartilage play in the human skeleton?,life saving,variable,important,insignificant,,A,A,B,B,B,B
6645,6645,What is lava called before it reaches the surface of the earth?,rock,crust,pyrite,magma,Minerals form as magma or lava cools.,D,D,A,A,A,D
6651,6651,What are the two main components in a battery?,anode and a vortex,filter and a cathode,vortex and a cathode,anode and a cathode,"Zinc is an important component of many kinds of batteries. This metal is mined as zinc compounds, one of which is zinc carbonate. To obtain the pure metal, the ore must go through the following chemical processes:.",A,D,A,A,D,A
6655,6655,Greater reflection off what atmospheric layer allows am radio waves to travel even farther at night than they can during the day?,troposphere,stratosphere,exosphere,ionosphere,"A: With greater reflection off the ionosphere, AM waves can travel even farther at night than they can during the day. Radio receivers can often pick up radio broadcasts at night from cities that are hundreds of miles away.",C,D,C,C,C,D
6658,6658,Amides are actually formed by bringing together an amine-containing molecule and molecule containing what?,Fatty acid,oxidize acid,polymer acid,carboxylic acid,"Amides are actually formed by bringing together an amine-containing molecule and a carboxylic acidcontaining molecule. A molecule of H2O is lost, much like when an ester forms:.",D,D,A,D,D,A
6698,6698,The earth is tilted on its what?,radius,top,compass,axis,"The Earth is tilted on its axis ( Figure above ). This means that as the Earth rotates, one hemisphere has longer days with shorter nights. At the same time the other hemisphere has shorter days and longer nights. For example, in the Northern hemisphere summer begins on June 21. On this date, the North Pole is pointed directly toward the Sun. This is the longest day and shortest night of the year in the Northern Hemisphere. The South Pole is pointed away from the Sun. This means that the Southern Hemisphere experiences its longest night and shortest day ( Figure below ).",D,D,C,D,D,D
6703,6703,Catenulids typically reproduce asexually by budding where?,their analogous end,their anterior end,their neuronal end,their posterior end,,D,A,D,A,A,D
6732,6732,"Roundworms feed on various things, one of them being decaying organic matter.  doing this, they play an important role in what famous cycle?",water cycle,life cycle,soul cycle,carbon cycle,"Roundworms may be free-living or parasitic. Free-living worms are found mainly in freshwater habitats. Some live in soil. They generally feed on bacteria, fungi, protozoans, or decaying organic matter. By breaking down organic matter, they play an important role in the carbon cycle.",C,D,C,C,C,C
6735,6735,"Something supplied by nature that helps support life, including ecosystems as well as minerals and fossil fuels, is called a what?",visible resource,artificial resource,fluid resource,natural resource,"A natural resource is something supplied by nature that helps support life. When you think of natural resources, you may think of minerals and fossil fuels. However, ecosystems and the services they provide are also natural resources. Biodiversity is a natural resource as well.",D,D,N,A,D,D
6737,6737,What were the electrons initially called?,polymer rays,gamma rays,plasma rays,cathode rays,Negatively charged and has a very small mass compared to the mass of other subatomic particles. Electrons were initially called cathode rays.,D,A,D,A,A,D
6740,6740,Why do viruses not belong to any domain of life?,they are too mature,they are immortal,they are mortal,they are nonliving,Which of the three domains of life do viruses belong to? None. Why? Viruses are usually considered to be nonliving. Viruses do not meet most of the criteria of life. They are not even made of cells.,D,D,C,D,D,D
6744,6744,"As the population grows, competition for food does what?",stagnates,stays the same,decreases,grows,"inviability because the hybrid organisms simply are not viable. In another postzygotic situation, reproduction leads to the birth and growth of a hybrid that is sterile and unable to reproduce offspring of their own; this is called hybrid sterility. Habitat Influence on Speciation Sympatric speciation may also take place in ways other than polyploidy. For example, consider a species of fish that lives in a lake. As the population grows, competition for food also grows. Under pressure to find food, suppose that a group of these fish had the genetic flexibility to discover and feed off another resource that was unused by the other fish. What if this new food source was found at a different depth of the lake? Over time, those feeding on the second food source would interact more with each other than the other fish; therefore, they would breed together as well. Offspring of these fish would likely behave as their parents: feeding and living in the same area and keeping separate from the original population. If this group of fish continued to remain separate from the first population, eventually sympatric speciation might occur as more genetic differences accumulated between them. This scenario does play out in nature, as do others that lead to reproductive isolation. One such place is Lake Victoria in Africa, famous for its sympatric speciation of cichlid fish. Researchers have found hundreds of sympatric speciation events in these fish, which have not only happened in great number, but also over a short period of time. Figure 18.21 shows this type of speciation among a cichlid fish population in Nicaragua. In this locale, two types of cichlids live in the same geographic location but have come to have different morphologies that allow them to eat various food sources.",A,D,A,A,D,D
6756,6756,What term is used to describe the electrostatic process used by most copy machines?,microphotography,electrography,titanomachy,xerography,"Xerography Most copy machines use an electrostatic process called xerography—a word coined from the Greek words xeros for dry and graphos for writing. The heart of the process is shown in simplified form in Figure 18.39. A selenium-coated aluminum drum is sprayed with positive charge from points on a device called a corotron. Selenium is a substance with an interesting property—it is a photoconductor. That is, selenium is an insulator when in the dark and a conductor when exposed to light. In the first stage of the xerography process, the conducting aluminum drum is grounded so that a negative charge is induced under the thin layer of uniformly positively charged selenium. In the second stage, the surface of the drum is exposed to the image of whatever is to be copied. Where the image is light, the selenium becomes conducting, and the positive charge is neutralized. In dark areas, the positive charge remains, and so the image has been transferred to the drum. The third stage takes a dry black powder, called toner, and sprays it with a negative charge so that it will be attracted to the positive regions of the drum. Next, a blank piece of paper is given a greater positive charge than on the drum so that it will pull the toner from the drum. Finally, the paper and electrostatically held toner are passed through heated pressure rollers, which melt and permanently adhere the toner within the fibers of the paper.",C,D,C,C,A,A
6761,6761,Overharvesting is a serious threat particularly to which species?,terrestrial species,aerial species,amphibious species,aquatic species,"Overharvesting Overharvesting is a serious threat to many species, but particularly to aquatic species. There are many examples of regulated fisheries (including hunting of marine mammals and harvesting of crustaceans and other species) monitored by fisheries.",D,D,A,D,D,A
6782,6782,What kind of organisms have many different types of specialized cells with particular jobs?,intricate,monocellular,crude,multicellular,"All living cells have certain things in common. Besides having the basic parts described above, all cells can perform the same basic functions. For example, all cells can use energy, respond to their environment, and reproduce. However, cells may also have special functions. Multicellular organisms such as you have many different types of specialized cells. Each specialized cell has a particular job. Cells with special functions generally have a shape that suits them for that job.",D,D,C,D,D,D
6817,6817,What types of bonds hold together positive metal ions and their valence electrons?,toxic bonds,ionic bonds,covalent  bonds,metallic bonds,Metallic bonds are the force of attraction between positive metal ions and the valence electrons that are constantly moving around them. The ions form a lattice-like structure held together by the metallic bonds.,C,D,C,C,C,C
6827,6827,Ions can be formed when atoms lose what other particles?,shells,neutrons,protons,electrons,"By losing an electron, the sodium atom becomes a sodium ion. It now has more protons than electrons and a charge of +1. Positive ions such as sodium are given the same name as the element. The chemical symbol has a plus sign to distinguish the ion from an atom of the element. The symbol for a sodium ion is Na + .",D,D,A,D,D,A
6828,6828,Deserts are generally dry ecosystems having very little what?,mountains,heat,snowfall,rainfall,"frequent algal blooms d. little or no vegetation 12. Which of the following is an example of a weather event? a. The hurricane season lasts from June 1 through November 30. The amount of atmospheric CO2 has steadily increased during the last century. A windstorm blew down trees in the Boundary Waters Canoe Area in Minnesota on July 4, 1999. Deserts are generally dry ecosystems having very little rainfall. Which of the following natural forces is responsible for the release of carbon dioxide and other atmospheric gases? a. the Milankovitch cycles b. volcanoes c. solar intensity d. burning of fossil fuels.",D,D,B,D,C,C
6829,6829,The average number of individuals per unit of area can be expressed as what?,total density,the percent of population,percent density,population density,"Population density just gives the average number of individuals per unit of area or volume. Often, individuals in a population are not spread out evenly. Instead, they may live in clumps or some other pattern (see Figure below ). The pattern may reflect characteristics of the species or its environment. Population distribution describes how the individuals are distributed, or spread throughout their habitat.",C,D,A,A,A,A
6850,6850,Change in momentum in an object is equivalent to what other measurement?,velocity,gravity,resistance,impulse,The change of momentum of an object is equal to the impulse.,C,D,A,D,C,A
6852,6852,Which waves have the longest wavelengths but the least energy in the atmosphere?,light waves,microwaves,channel waves,radio waves,Some people are allergic to certain foods. Nuts and shellfish are common causes of food allergies. Other common causes of allergies include:.,D,D,C,D,C,C
6857,6857,In what type of climate might one find deciduous trees?,moist continental,thick continental,Dry Continental,humid continental,Deciduous trees are common in humid continental climates. Conifer forests grow in the subarctic.,C,A,D,C,A,D
6859,6859,The magnitude of the wave function at a particular point in space is proportional to what property of the wave at that point?,Sounding,voltage,frequency,amplitude,"The magnitude of the wave function at a particular point in space is proportional to the amplitude of the wave at that point. Many wave functions are complex functions, which is a mathematical term indicating that they contain.",D,D,A,A,A,A
6866,6866,"What kind of solids are generally classified by the forces that hold their particles together and include ionic, metallic, covalent network, and molecular types?",flat solids,distinct solids,helium solids,crystalline solids,"Crystalline solids are generally classified according the nature of the forces that hold its particles together. These forces are primarily responsible for the physical properties exhibited by the bulk solids. The following sections provide descriptions of the major types of crystalline solids: ionic, metallic, covalent network, and molecular.",C,D,C,C,D,D
6880,6880,How does the image focused by the eye travel to the brain?,the secondary nerve,the sensory nerve,the modulated nerve,the optic nerve,The image focused by the eye travels through the optic nerve to the brain as electrical signals. The brain interprets the signals and “tells” us what we are seeing.,D,D,A,A,A,A
6884,6884,"What are the narrowest blood vessels, where oxygen is transferred into body cells?",viens,arteries,muscles,capillaries,"Red blood cells are flat, round, and very small. Their small size allows easy maneuverability through the capillaries, the narrowest blood vessels, where oxygen is transferred into body cells.",C,D,C,C,D,D
6898,6898,How many more legs do spiders have compared to insects?,four,six,one,two,"Although spiders and insects are both arthropods, a spider is not an insect. One key difference is that insects have six legs, while spiders have eight legs.",A,D,C,A,D,A
6905,6905,What is formed from an alcohol that loses water?,amines,Bonds,alcohols,alkenes,Alcohols can lose water to form alkenes.,D,D,B,D,B,A
6906,6906,What is the division of the body into multiple parts called?,organ-level organization,compression,transverse,segmentation,"Segmentation evolved next. This is a division of the body into multiple segments. Both the earthworm and ant pictured in Figure below have segmented bodies. This trait increases flexibility. It permits a wider range of motion. All annelids and arthropods are segmented. Arthropods also evolved jointed appendages. For example, they evolved jointed legs for walking and “feelers” (antennae) for sensing.",D,D,A,D,D,A
6911,6911,Oversecretion of insulin can cause what?,hypoxia,hyperglycemia,inflammation,hypoglycemia,"This animation (http://openstaxcollege. org/l/insulin) describe the role of insulin and the pancreas in diabetes. Impaired insulin function can lead to a condition called diabetes mellitus, the main symptoms of which are illustrated in Figure 37.10. This can be caused by low levels of insulin production by the beta cells of the pancreas, or by reduced sensitivity of tissue cells to insulin. This prevents glucose from being absorbed by cells, causing high levels of blood glucose, or hyperglycemia (high sugar). High blood glucose levels make it difficult for the kidneys to recover all the glucose from nascent urine, resulting in glucose being lost in urine. High glucose levels also result in less water being reabsorbed by the kidneys, causing high amounts of urine to be produced; this may result in dehydration. Over time, high blood glucose levels can cause nerve damage to the eyes and peripheral body tissues, as well as damage to the kidneys and cardiovascular system. Oversecretion of insulin can cause hypoglycemia, low blood glucose levels. This causes insufficient glucose availability to cells, often leading to muscle weakness, and can sometimes cause unconsciousness or death if left untreated.",C,D,C,A,C,C
6913,6913,What are the two loops of blood flow in the cardiovascular system?,systolic and diastolic,anabolic and metabolic,aerobic and anaerobic,pulmonary and systemic,The cardiovascular system circulates blood through two different loops. Pulmonary circulation is a loop that carries blood between the heart and lungs. Systemic circulation is a loop that carries blood between the heart and the rest of the body.,D,D,A,A,A,A
6917,6917,What helps control the muscles and maintain balance?,lymphatic system,circulatory system,muscular system,nervous system,Staying balanced when riding a scooter requires control over the body’s muscles. The nervous system controls the muscles and maintains balance.,D,D,B,B,D,A
6926,6926,Where is multiple fission more often observed?,among vertebrates,among multi-celled organisms,among animals,among protists,"Binary fission in various single-celled organisms (left). Cell division is a relatively simple process in many single-celled organisms. Eventually the parent cell will pinch apart to form two identical daughter cells. In multiple fission (right), a multinucleated cell can divide to form more than one daughter cell. Multiple fission is more often observed among protists.",A,D,C,D,C,C
6934,6934,Quarks in the middle energy family are found in cosmic rays and are produced in what?,particle splicers,particle processors,cosmic accelerators,particle accelerators,"Everyday objects are made up of quarks from the lowest energy family, namely up and down quarks. Quarks in the middle energy family are found in cosmic rays and are produced in particle accelerators. Particles in the high energy family are believed to have existed briefly during the earliest moments of the Big Bang and are created only in high energy collisions.",D,D,B,D,D,D
6942,6942,Name the term used to described prokaryotes that require oxygen.,mouth breathers,anaerobic,hydrophylic,aerobic,Prokaryotes that need oxygen are described as aerobic. They use oxygen for cellular respiration. Examples include the prokaryotes that live on your skin.,C,D,C,C,C,D
6949,6949,What do industries use water to generate?,light,pollution,refrigeration,electricity,Rechargeable batteries are renewable because they can be refilled with energy. Is the energy they are refilled with always renewable?.,D,D,B,D,A,A
6962,6962,"When plants lose their leaves in the fall, what chemical is produced less to cause the change?",oxygen,pheromes,carbonate,chlorophyll,"Even if you don’t live in a place where leaves turn color in the fall, no doubt you’ve seen photos of their “fall colors” (see Figure below ). The leaves of many plants turn from green to other, glorious colors during autumn each year. The change is triggered by shorter days and cooler temperatures. Leaves respond to these environmental stimuli by producing less chlorophyll . This allows other leaf pigments—such as oranges and yellows—to be seen.",C,D,C,C,A,D
6965,6965,What term is used to describe anything that takes up space and has mass?,opacity,size,weight,matter,"If you look at your hand, what do you see? Of course, you see skin, which consists of cells. But what are skin cells made of? Like all living cells, they are made of matter. In fact, all things are made of matter. Matter is anything that takes up space and has mass. Matter, in turn, is made up of chemical substances. In this lesson you will learn about the chemical substances that make up living things.",C,D,C,C,A,A
6975,6975,Density is defined as the mass of an object divided by its what?,growth,size,liquid,volume,Density is defined as the mass of an object divided by its volume. Propose a unit of density in terms of the fundamental SI units.,D,D,C,D,D,C
6977,6977,What types of orbits do comets usually have?,spectral,vertical,convex,elliptical,"Comets are small, icy objects that orbit the Sun in very elliptical orbits. When they are close to the Sun, they form comas and tails, which glow and make the comet more visible.",D,D,C,A,A,A
6978,6978,What describes how close an estimate is to a known standard?,precision,diversity,frequency,accuracy,Accuracy describes how close an estimate is to a known standard.,C,D,A,C,D,D
6988,6988,What is the term for the shallow space above the zygomatic arch in a skull?,Medium Fossa,angular fossa,distinct fossa,temporal fossa,"Figure 7.5 Lateral View of Skull The lateral skull shows the large rounded brain case, zygomatic arch, and the upper and lower jaws. The zygomatic arch is formed jointly by the zygomatic process of the temporal bone and the temporal process of the zygomatic bone. The shallow space above the zygomatic arch is the temporal fossa. The space inferior to the zygomatic arch and deep to the posterior mandible is the infratemporal fossa.",D,D,B,D,D,D
6990,6990,Many european and asiatic elms are less susceptible to dutch elm disease than which elms?,african,caribbean,rican,american,"Accidentally introduced in the 1900s, the fungus decimated elm trees across the continent. Many European and Asiatic elms are less susceptible to Dutch elm disease than American elms. In humans, fungal infections are generally considered challenging to treat. Unlike bacteria, fungi do not respond to traditional antibiotic therapy, since they are eukaryotes. Fungal infections may prove deadly for individuals with compromised immune systems. Fungi have many commercial applications. The food industry uses yeasts in baking, brewing, and cheese and wine making. Many industrial compounds are byproducts of fungal fermentation. Fungi are the source of many commercial enzymes and antibiotics.",A,A,D,D,D,D
7007,7007,What builds up in an artery and reduces blood flow?,surface tension,pressure,calcium deposits,plaque,Plaque buildup in an artery reduces blood flow through the vessel.,A,D,A,A,A,A
7008,7008,Compounds with metals and nonmetals sharing electrons are known as what kinds of compounds?,eons,acids,atoms,ions,"The Formation of Ionic Compounds Binary ionic compounds are composed of just two elements: a metal (which forms the cations) and a nonmetal (which forms the anions). For example, NaCl is a binary ionic compound. We can think about the formation of such compounds in terms of the periodic properties of the elements. Many metallic elements have relatively low ionization potentials and lose electrons easily. These elements lie to the left in a period or near the bottom of a group on the periodic table. Nonmetal atoms have relatively high electron affinities and thus readily gain electrons lost by metal atoms, thereby filling their valence shells. Nonmetallic elements are found in the upper-right corner of the periodic table.",D,A,D,D,A,D
7015,7015,What system of the body is generally responsible for breathing?,cardiac,excretory,integumentary,respiratory system,The respiratory system is responsible for breathing.,D,D,R,A,A,A
7022,7022,Conduction from the core has what effect on the lower mantle?,it cools it,it vibrates it,it makes it rotate,it heats it,Conduction from the core heats the lower mantle.,D,D,A,D,A,A
7027,7027,"In science, what is supported by much evidence, widely accepted by credible scientists, and unlikely to be disproved?",hypothesis,law,concept,theory,"The three theories below are essential in Earth science. Each accounts for an enormous amount of data. Each is supported by many lines of evidence. All can be used to make predications. As new evidence arises, any of these theories may need to be altered. But none of these three are likely ever to be disproved. They are accepted by nearly all of the credible scientists in their fields.",A,A,D,A,D,D
7043,7043,What is used as a vector for gene insertion in ex vivo gene therapy?,bacteria,typhus,penicillin,virus,"In ex vivo gene therapy, done outside the body, cells are removed from the patient and the proper gene is inserted using a virus as a vector. The modified cells are placed back into the patient.",B,D,B,A,A,D
7046,7046,"In the freshwater flatworms, protonephridia serve chiefly in what?",thermoregulation,enculturation,excretion,osmoregulation,,D,A,B,A,A,A
7058,7058,What is the process whereby excess water and waste is removed from the body?,exhalation,filtration,diffusion,excretion,"Excretion is any process in which excess water or wastes are removed from the body. Excretion is the job of the excretory system. Besides the kidneys, other organs of excretion include the large intestine, liver, skin and lungs.",C,D,C,C,A,A
7069,7069,"While the chromosome is replicating, the cell does what?",diffuses,propagates,shrinks,elongates,,C,D,C,D,D,D
7072,7072,Solar and wind are still expensive compared to what?,batteries,electricity,coal fuels,fossil fuels,Solar and wind are still expensive relative to fossil fuels. The technology needs to advance so that the price falls.,D,D,C,D,B,B
7079,7079,Atomic orbitals are populated with what subatomic particles?,atoms,protons,neurons,electrons,"A completely bonding molecular orbital contains no nodes (regions of zero electron probability) perpendicular to the internuclear axis, whereas a completelyantibonding molecular orbital contains at least one node perpendicular to the internuclear axis. A sigma (σ) orbital (bonding) or a sigma star (σ*) orbital(antibonding) is symmetrical about the internuclear axis. Hence all cross-sections perpendicular to that axis are circular. Both a pi (π) orbital (bonding) and a pi star (π*) orbital (antibonding) possess a nodal plane that contains the nuclei, with electron density localized on both sides of the plane. The energies of the molecular orbitals versus those of the parent atomic orbitals can be shown schematically in an energy-level diagram. The electron configuration of a molecule is shown by placing the correct number of electrons in the appropriate energy-level diagram, starting with the lowest-energy orbital and obeying the Pauli principle; that is, placing only two electrons with opposite spin in each orbital. From the completed energy-level diagram, we can calculate thebond order, defined as one-half the net number of bonding electrons. In bond orders, electrons in antibonding molecular orbitals cancel electrons in bonding molecular orbitals, while electrons in nonbonding orbitals have no effect and are not counted. Bond orders of 1, 2, and 3 correspond to single, double, and triple bonds, respectively. Molecules with predicted bond orders of 0 are generally less stable than the isolated atoms and do not normally exist. Molecular orbital energy-level diagrams for diatomic molecules can be created if the electron configuration of the parent atoms is known, following a few simple rules. Most important, the number of molecular orbitals in a molecule is the same as the number of atomic orbitals that interact. The difference between bonding and antibonding molecular orbital combinations is proportional to the overlap of the parent orbitals and decreases as the energy difference between the parent atomic orbitals increases. With such an approach, the electronic structures of virtually all commonly encountered homonuclear diatomic molecules, molecules with two identical atoms, can be understood. The molecular orbital approach correctly predicts that the O2 molecule has two unpaired electrons and hence is attracted into a magnetic field. In contrast, most substances have only paired electrons. A similar procedure can be applied to molecules with two dissimilar atoms, calledheteronuclear diatomic molecules, using a molecular orbital energy-level diagram that is skewed or tilted toward the more electronegative element.",D,D,C,C,D,D
