,question,distractor3,distractor1,distractor2,correct_answer,support,small
2115,Particles of a gas are constantly moving and bumping into things. this gives gases what?,strength,resistance,velocity,pressure,Particles of a gas are constantly moving and bumping into things. This gives gases pressure.,D
2117,Which system transports oxygens to cells?,oxy system,vascular system,nervous system,circulatory system,An important function of the circulatory system is transporting oxygen to cells.,D
2125,"Large amounts of fuel are stored in skeletal muscles, adipose tissues and what organ?",kidney,skin,spleen,liver,,D
2126,Intrusive igneous rocks cool from magma slowly in the crust and have large what?,coal deposits,pores,atoms,crystals,Intrusive igneous rocks cool from magma slowly in the crust. They have large crystals.,D
2130,"Within organs, arteries branch into what small vessels that convey blood to the capillaries?",aeortic vessels,Metarterioles,blood valves,arterioles,,D
2134,Deposition refers to when a gas changes to what state?,plasma,half liquid half gas,liquid,solid,Deposition is the change of state from a gas to a solid.,D
2141,"For the most part, cognitive functions reside where?",the limbic system,the spine,the heart,the cortex,,D
2145,Is the digestive tract of many sharks longer or shorter than many other vertebrates?,narrower,heavier,longer,shorter,,B
2146,"In the case of the thyroid hormone pathway, thyroid hormone itself carries out what kind of feedback?",effective,positive,continued,negative,,D
2153,What is the predominant stage in the life cycle of most scyphozoans?,gamete,hydra,spore,medusa,,D
2159,What contains the spore-forming asci?,mushroom cap,flagella,sporozoa,the ascocarps,,D
2160,Fruit fly and brine shrimp hox genes have evolved independently for how long?,one billion,60.000 million years,100.32 million years,400 million years,,A
2161,Yolk is a very fragile substance found in the eggs of reptiles and needs protection.  what serves as protection for the yolk?,eye sac,fish sac,dish sac,yolk sac,,D
2162,What do tadpoles change into?,mud puppies,reptiles,toads,adult frogs,Tadpoles go through many changes to become adult frogs.,D
2177,Energy transfer between what kinds of levels is generally rather inefficient?,apex,producer,secondary,trophic,55.3 Energy transfer between trophic levels is typically only 10% efficient.,A
2178,What kind of conditions are often inherited as simple recessive traits?,genetic neurotransmitters,genetic diversivers,genetic ratios,genetic disorders,,D
2187,Which organ secretes estrogen?,the kidney,the testes,the thyroid,the ovaries,The ovaries release the eggs and secrete estrogen.,D
2188,Water-soluble carboxylic acids ionize slightly in water to form these?,very acidic solutions,solvents,nonacidic solutions,moderately acidic solutions,Water-soluble carboxylic acids ionize slightly in water to form moderately acidic solutions.,D
2189,Which kind of irrigation uses much less water than other methods?,solar,constant,mist,drip,Drip irrigation uses much less water than other methods.,D
2191,What three things do animals require in order to survive?,"Immunity, blood, water","Sex, Love, Food","Shelter, Food and love","air, water, food",,D
2196,What is less dense then either solids or liquids?,dark matter,plasma,ice,gases,Gases are less dense that either solids or liquids.,D
2200,What is the hollow sac like organ that stores urine until it is excreted?,tumor,kidney,ureter,bladder,"hollow, sac-like organ that stores urine until it is excreted from the body.",D
2202,What is a branded polymer that serves as energy storage in animal?,pathogen,triglyceride,hydrocarbon,glycogen,Glycogen is a branched polymer of glucose and serves as energy storage in animals.,D
2204,"What do you call something that controls the uptake of water or another substance in the environment, in order to maintain constant internal conditions?",osmoconformers,sporozoans,protozoans,osmoregulators,,D
2210,The cells of most eukaryotic and many prokaryotic organisms can carry out what type of respiration?,energetic,anaerobic,kinetic,aerobic,,D
2214,"What type of galaxies are oval shaped, red or yellow, and contain mostly old stars?",unique elliptical,ovoid anomalies,mutant ellipses,typical elliptical,"Typical elliptical galaxies are oval shaped, red or yellow, and contain mostly old stars.",D
2217,Isobaric expansion is a process occurring without a change in what?,energy,direction,temperature,pressure,isobaric expansion is a process occurring without a change in pressure.,D
2220,What type of behaviors do not have to be learned or practiced?,diverse behaviors,protective behaviors,acquired behaviors,innate behaviors,Innate behaviors do not have to be learned or practiced.,D
2228,What occurs over a large area when a rock is buried or compressed?,landslide,metamorphic diffusion,cavern system,regional metamorphism,Regional metamorphism occurs over a large area when a rock is buried or compressed.,D
2231,What organism carries out only fermentation or anaerobic respiration?,aldehydes,metabolites,aerobicc enzymes,obligate anaerobes,,D
2241,What type of archaea live in salty environments?,amphibians,arthropods,sporozoans,halophiles,Archaea that live in salty environments are known as halophiles.,D
2252,Organs are groups of what working together?,tendons,muscles,bones,tissues,,C
2257,What is the minimum number of pulleys needed for a compound pulley?,zero,1,4,2,Single pulleys may be fixed or moveable. Compound pulleys consist of two or more pulleys.,D
2261,Carboxylic acids can form what with alcohols?,aldehydes,lipids,ketones,esters,Carboxylic acids can form esters with alcohols.,D
2265,Minerals form when they precipitate from hot fluids that have done what?,accelerated down,heated up,dried out,cooled down,Minerals form when they precipitate from hot fluids that have cooled down.,D
2276,Solar energy travels in what?,neurons,ions,electrons,photons,"Solar energy travels in photons. Photons travel in waves, which make up electromagnetic radiation.",D
2278,What state of matter takes the shape and volume of whatever container it occupies?,mixture,solid,liquid,gas,,B
2284,What kind of a relationship do plants and soil have?,contentious relationship,one-way relationship,dimorphic relationship,two-way relationship,,D
2289,What are the largest phylum in the animal kingdom?,mammals,crustaceans,cephalopods,arthropods,Arthropods are the largest phylum in the animal kingdom.,D
2293,What do communication satellites carry and use to provide energy during their missions?,infrared panels,geothermal panels,batteries,solar panels,Communications satellites carry solar panels to provide energy for their missions.,D
2308,The energy of a photon is directly proportional to the frequency of the electromagnetic what?,absorption,evaporation,convection,radiation,The energy of a photon is directly proportional to the frequency of the electromagnetic radiation.,D
2313,"In atherosclerosis, thickening of an arterial wall due to this can restrict blood flow through the artery?",digestion,low blood pressure,high blood pressure,plaque formation,,D
2317,Ultraviolet radiation has the highest energy; which has the lowest?,thermal,kinetic,nuclear,infrared,Ultraviolet radiation has the highest energy; infrared the lowest.,D
2323,What is the oxygen-storing protein found in diving mammals' muscles called?,pheromone,pigment,hemoglobin,myoglobin,,D
2324,The modern atomic theory states that all matter is composed of what?,molecules,ions,quarks,atoms,The modern atomic theory states that all matter is composed of atoms.,D
2327,"If both atoms are the same, they have the same electronegativity and share what type of bond?",isotopic covalent,metabolic,ionic,nonpolar covalent,,D
2340,Topographic maps have a horizontal scale to indicate what distances?,perpendicular,diagonal,vertical,horizontal,Topographic maps have a horizontal scale to indicate horizontal distances.,D
2343,Fossils provide a window into the past. they are evidence for what?,generation,emergence,intelligent design,evolution,Fossils provide a window into the past. They are evidence for evolution.,D
2357,What does urine leave the body through?,uterus,vagina,colon,urethra,Urine leaves the body through the urethra .,D
2360,"Poetically speaking, nature reserves are islands of what, in a sea of habitat degraded by human activity?",ecosystem,refuge,habitats,biodiversity,,A
2365,The number of waves that pass a fixed point in a given amount of time is referred to as what?,wave harmonics,tendency frequency,wave speed,wave frequency,Wave frequency is the number of waves that pass a fixed point in a given amount of time.,D
2368,Interneurons carry what back and forth between sensory and motor neurons?,flux impulses,sciatica,electricity,nerve impulses,Interneurons carry nerve impulses back and forth between sensory and motor neurons.,D
2372,What is made up of bands of cells that contract for movement?,cartilage,vascular tissue,collagen,muscle tissue,Muscle tissue is made up of bands of cells that contract and allow movement.,D
2374,Tissues are organized by what?,structures,branches,lipids,cells,"Cells are organized into tissues, and tissues form organs.",D
2378,Fossil evidence indicates that the ancestors of humans originated on which continent?,south america,north america,australia,africa,,D
2387,What element is essential for amino acid and nucleic acid production?,hydrogen,oxygen,carbon,nitrogen,,D
2391,What part of the sporophyte produces microspores that form male gametophytes and megaspores that form female gametophytes?,leaves,chloroplasts,pollen,flower,,B
2402,Groundwater dissolves minerals and carries the ions in a what?,jet stream,mixture,transition,solution,Groundwater dissolves minerals and carries the ions in solution.,D
2405,What do scientists think are the oldest eukaryotes?,prokaryotes,arthropods,fungi,protists,Scientists think that protists are the oldest eukaryotes.,D
2410,Where is food stored?,The esophagus,The gall bladder,The liver,the stomach,,D
2413,"Upon entering the vestibular canal, the pressure waves push down on what duct?",the bile,the regrowth,the implant,the cochlear,,D
2414,Water is formed from oxygen and what other element?,lead,calcium,helium,hydrogen,"When hydrogen gas is reacted with oxygen gas, water is formed as the product.",D
2424,"If environmental conditions deteriorate, many species can form protective what?",shells,fibers,proteins,cysts,,D
2425,In what subgroup are oligochaetes classified?,reptiles,mammals,insects,polychaetes,,D
2434,What do monotremes lack though they have hair and produce milk?,tail,nerves,skin,nipples,,A
2437,"The human body regulates the use and storage of what simple sugar, a major cellular fuel?",secretion,carbohydrate,insulin,glucose,,D
2439,What is the shortest phase of the sexual response cycle?,resolution phase,sexual stimulation,plateau phase,the orgasm,,A
2440,What is the name of the process by which plants use energy from sunlight to synthesize carbohydrates?,pollination,osmosis,cellular respiration,photosynthesis,Photosynthesis is the process by which plants use energy from sunlight to synthesize carbohydrates.,D
2441,Animals need plants for food and?,shelter,fuel,reproduction,energy,,B
2447,What structure does methane have?,three dimensional oxyhedra,two dimensional oxyhedra,two dimensional tetrahedra,three dimensional tetrahedra,"Methane has a three-dimensional, tetrahedral structure.",D
2449,What rate is generally higher for endotherms than for ectotherms?,reproduction,mortality,respiration,metabolic,,B
2454,Untreated botulism is typically fatal because muscles required for breathing fail to contract when the release of what chemical is blocked?,hydrogen,carbon dioxide,monoxide,acetylcholine,,B
2468,What do eukaryotic cells have that compartmentalize their functions?,cell walls,vacuoles,cytoplasm,internal membranes,6.2 Eukaryotic cells have internal membranes that compartmentalize their functions.,D
2469,Earth rotates on its axis once each day and revolves around the sun how often?,every other year,once each month,ever 3 years,once each year,Earth rotates on its axis once each day and revolves around the Sun once every year.,D
2473,Statoliths are starch-filled plastids that enable plant roots to detect what force?,current,variation,impact,gravity,,D
2476,Temperature can be defined as the average of what type of energy of the molecules?,potential,magnetic,optical,kinetic,Temperature is the average kinetic energy of the molecules.,D
2477,What lens shape corrects myopia?,curve,flat,convex,concave,"Myopia is corrected with a concave lens, while hyperopia is corrected with a convex lens.",D
2478,What serves to replace nonreproducing specialized cells as needed in the adult body?,dendritic cells,osteoclast cells,monocyte cells,stem cells,,D
2480,What organs are the main organs of the urinary system?,gall bladder,spleen,prostate,kidneys,The kidneys are the main organs of the urinary system.,D
2481,What phase follows ovulation?,varicose phase,interstitial phase,telophase,luteal phase,,D
2484,Light has the properties of both a wave and what else?,electron,atom,nucleus,particle,Light has properties of both a wave and a particle.,D
2485,Hagfishes have a skull made of what?,bone,gelatin,chitin,cartilage,,D
2490,What is tube-shaped and brings urine from the kidneys to the urinary bladder?,fallopian tube,gametophytes,vas deferens,ureters,Ureters are tube-shaped and bring urine from the kidneys to the urinary bladder.,D
2495,What are the only regions of space that electrons can occupy?,inside protons,galaxies,inside nuclei,orbits,"Electrons can occupy only certain regions of space, called orbits.",D
2498,"In certain populations, some of the chromosomes have become what?",dissolved,elongated,composed,fused,,D
2499,What occurs as a result of the discharge of static electricity?,drought,thunder,clouds,lightning,Zachary Wilson. Lightning is the result of the discharge of static electricity . CC BY-NC 3.0.,D
2504,What occurs when water lost by transpiration is not replaced by absorbtion from room?,perspiration,rotting,shedding,wilting,,D
2505,"Molds, pollen, and pet dander are examples of air pollution with what type of source?",chemical,ecological,physical,biological,"Biological sources of air pollution include molds, pollen, and pet dander.",D
2506,Neurons are classified based on the direction in which they carry what?,neurotransmitters,metabolism impulses,energy,nerve impulses,Neurons are classified based on the direction in which they carry nerve impulses.,D
2532,The distance between the crests of electromagnetic waves is called what?,crest,trough,variation,wavelength,,D
2534,Chlorophyll is used in what food-making process that plants carry out?,digestion,colorization,isolation,photosynthesis,,D
2541,Polar molecules result from differences in electronegativity of what in the molecule?,iron,ions,protons,atoms,Polar molecules result from differences in electronegativity of the atoms in the molecule.,D
2547,Chewing insects such as dragonflies and grasshoppers have how many sets of jaws?,three,one,four,two,"If all three bulbs are set a full intensity, the person sees __________.",A
2552,What are the structures in the cytoplasm where proteins are made?,prokaryotes,nucleus,chromosomes,ribosomes,Ribosomes are structures in the cytoplasm where proteins are made.,D
2553,What is the key issue in the small-population approach?,alternative variation,disease variation,genetic mutation,genetic variation,,A
2560,What are two common weather characteristics of hurricanes?,small winds and rainfall,low winds and sandstorms,high winds and snowfall,high winds and rainfall,Volcanoes and earthquakes are common at active margins. Active margins are near plate boundaries.,D
2561,What kind of organism causes the often fatal lung disease tuberculosis?,algae,pathogens,virus,bacteria,,D
2562,Where do plates move apart in oceans and on land?,unsettled plate boundaries,volcanic ridges,coastal zones,divergent plate boundaries,Plates move apart at divergent plate boundaries. This can occur in the oceans or on land.,D
2577,What is it called when two alleles are both expressed in the heterozygous individual?,shared dominance,weak dominance,low dominance,codominance,Codominance is when two alleles are both expressed in the heterozygous individual.,D
2578,What part of a spider is equipped with poison glands?,vacuole,baleen,pedipalps,chelicerae,,D
2586,What isotope of carbon is typically used to date ancient items?,carbon 12,uranium 14,nitrogen 14,carbon 14,,D
2588,When wood is burned what kind of energy allows the wood to burn?,carbon,physical,radiation,chemical,Chemical energy is stored in wood and released when the wood burns.,D
2605,What tissue blocks entry of pathogens in mammals?,pathological,dendritic,esophageal,epithelial,,D
2606,What in the axils of leaves and stems give rise to branches?,chloroplasts,nodules,meristems,axillary buds,,D
2612,What does the kinetic-molecular theory describe the behavior of?,a compound,a liquid,a solid,an ideal gas,The kinetic-molecular theory describes the behavior of an ideal gas.,D
2613,What kind of hormones are released into the environment for communication between animals of the same species?,reactions,hormones,peptides,pheromones,,D
2614,What organ contributes about 60% of the volume of semen ?,long vesicles,complete vesicles,cilia,seminal vesicles,,D
2616,What is the common name for the midpoint between high and low tide?,floods level,middle level,clouds level,sea level,Sea level is the midpoint between high and low tide. It can vary around Earth.,D
2619,Within the petals are two whorls of fertile floral organs that produce what?,fibers,leaves,toxins,spores,,D
2621,The scientific name of an organism consists of its genus and what else?,mammals,specimens,samples,species,The scientific name of an organism consists of its genus and species.,D
2623,Scientists utilize what natural process to teach cranes born in captivity to migrate along safe routes?,expediting,natural selection,neuroimaging,imprinting,,D
2626,What kind of reproduction generates new individuals without fusion of an egg and sperm?,sexual,propagation,gametes,asexual,,D
2628,What does blood pickup from the lungs to be carried throughout the rest of the body?,platelets,carbon,white blood cells,oxygen,The blood picks up oxygen in the lungs and carries it to cells throughout the body.,D
2634,Wood consists of mainly what kind of walls?,chaotic,aquatic,primary,secondary,,A
2635,Viruses lack metabolic enzymes and equipment for making what?,cells,dna,acids,proteins,,A
2644,Myopia and hyperopia are defects that can be corrected with devices?,fins,crutches,casts,lenses,Myopia and hyperopia can be corrected with lenses.,D
2647,"What state of matter has a definite volume, but takes the shape of the container?",solid,gas,plasma,liquid,"Liquids have a definite volume, but take the shape of the container.",D
2658,What two microorganisms have different membrane lipids?,algae and bacteria,microsporidia and bacteria,mesozoic and bacteria,archaea and bacteria,,D
2659,"Sharing a phylum with insects, spiders, daddy-long-legs, scorpions, and ticks belong to what class?",mammals,annelids,reptiles,arachnids,"Arachnids include spiders, daddy-long-legs, scorpions, and ticks.",D
2664,What is the reproductive part of the plant?,the core,the leaf,the stem,the flower,,D
2665,The attraction of an atom for the electrons of a covalent bond is its what?,hardness,brightness,weight,electronegativity,,D
2666,What substance do the leaves of plants take in from the environment?,acid rain,oxygen,hydrogen,carbon dioxide,,D
2669,What occurs after gametes fuse and form a diploid zygote?,reproduction,transcription,electrolysis,meiosis,,A
2675,What is the process of getting oxygen into the body & releasing carbon dioxide called?,photosynthesis,perspiration,precipitation,respiration,The process of getting oxygen into the body and releasing carbon dioxide is called respiration.,D
2680,"Alpha particles, beta particles, and gamma particles are major types of what?",microscopy,visible light,sound waves,radioactivity,"The major types of radioactivity include alpha particles, beta particles, and gamma rays.",D
2688,Early blastomeres can form what if isolated?,tumors,cancer,lesions,a complete embryo,,A
2689,"What component of an organism, made up of many cells, in turn makes up an organ?",epidermis,muscles,molecules,tissues,,D
2690,What form do alkali metals take at room temperature?,compound,liquid,gas,solid,Alkali metals are all solids at room temperature.,D
2693,What creates a new seafloor at the mid-ocean ridge?,glaciers,earthquake,hurricane,magma,Magma at the mid-ocean ridge creates new seafloor.,D
2696,What kind of anatomical structure consists of several types of tissues that together carry out particular functions?,system,valve,frame,organ,,D
2697,How many pathways do plants have for carbon fixation?,eleven,two,five,three,Plants have evolved three pathways for carbon fixation.,D
2698,What is used to measure electric current?,anemometer,atomizer,chronometer,galvanometer,,D
2699,What connects the fetus to the placenta?,eustachian tube,fallopian tube,microbial cord,umbilical cord,The fetus is connected to the placenta through the umbilical cord.,D
2703,Some women experience cramping and pain before and during what monthly cycle?,deformation,inflammation,reproduction,menstruation,Some women experience cramping and pain before and during menstruation.,D
2704,What is the attraction of oppositely charged ions caused by electron transfer called?,solvent bond,covalent bond,velocity bond,ionic bond,The attraction of oppositely charged ions caused by electron transfer is called an ionic bond.,D
2709,"Because force and electric field are what, they have direction as well as their value?",mass,sensors,neurons,vectors,Force and electric field are vectors and thus have direction as well as their value.,D
2717,What are the food making factories of plants?,roots,stems,fruits,leaves,,A
2726,What subject is a way of learning about the natural world that is based on evidence and logic?,geology,evolution,geography,science,Science is a way of learning about the natural world that is based on evidence and logic.,D
2727,Chloroplasts are present only in cells of eukaryotes capable of what process?,sexual reproduction,hydrolysis,digestion,photosynthesis,,D
2734,"Organs, vessels, and lymph make up what system?",nervous,digestive,circulatory,lymphatic,"The lymphatic system consists of organs, vessels, and lymph.",D
2735,"Like the marketplace, the metabolic economy is regulated by what basic principle?",industrial and demand,jobs and demand,price and demand,supply and demand,,D
2737,Which virus causes cold sores?,stilts virus,flu virus,microbes virus,herpes virus,Cold sores are caused by a herpes virus.,D
2739,What is the name of anything that has mass and takes up space?,depth,solid,carbon,matter,,D
2740,"The units of time, day and year are based on what?",moon phases,motions of the sun,gravitational waves,motions of earth,,D
2747,What helps the cell continually renew itself?,lymphocytes,vacuole,centrosome,lysosomes,,A
2752,Metabolism is the collection of what that occur in an organism?,mineral reactions,mechanical reactions,growth reactions,chemical reactions,,D
2758,"Some microorganisms can digest cellulose, breaking it down into what?",fructose monomers,gluclose polymers,fructose polymers,glucose monomers,,D
2769,Transport epithelia that function in maintaining water balance also often function in disposal of what?,organisms wastes,bacteria,absorption wastes,metabolic wastes,,A
2774,"Prostaglandins also help regulate the aggregation of platelets, one step in the formation of what?",cysts,bloats,acne,blood clots,,D
2777,"In the human body, what do you call the intersection where the paths for air and food cross.?",esophagus,cloaca,larynx,pharynx,,D
2778,Air conditioning systems can incubate certain bacteria and what else?,root,Cancer,wood,mold,Air conditioning systems that can incubate certain bacteria and mold.,D
2779,"The toothlessness of modern birds, which serves to trim the weight of the head, is an example of what?",variety,mutation,genetic drift,adaptation,,D
2782,Name the closest living relatives of tetrapods?,lumpfishes,shrimp,spinefishes,lungfishes,,D
2789,What is the main organ required for respiration in mammals?,the brain,the diaphragm,the heart,the lungs,Respiration is the process in which gases are exchanged between the body and the outside air.,D
2791,What is the smallest unit of time commonly based on?,minute,hour,millimeter,second,,D
2792,"Atoms cannot be subdivided, created, or what?",observed,contained,contaminated,destroyed,"Atoms cannot be subdivided, created, or destroyed.",D
2795,"The four phases of mitosis are prophase, metaphase, anaphase and what?",trichina,spirogyra,postphase,telophase,"Mitosis occurs in four phases, called prophase, metaphase, anaphase, and telophase.",D
2796,Pathogenic prokaryotes usually cause illness by producing what?,organisms,ions,insects,poisons,,D
2799,Body waves travel through the earth and arrive at seismograms before what?,function waves,sound waves,velocity waves,surface waves,Body waves travel through the Earth and arrive at seismograms before surface waves.,D
2800,What are the outpocketings of the digestive tract that remove nitrogenous wastes and function in osmoregulation?,intestinal tubules,olivary tubules,integumentary tubules,malpighian tubules,,D
2818,What monthy cycle causes changes in the ovaries and uterus?,sleep-wake cycle,tides,water cycle,the menstrual cycle,The menstrual cycle is a monthly cycle of changes in the ovaries and uterus.,D
2821,"In many polychaetes, the parapodia are richly supplied with blood vessels and also function as what?",scales,tails,pores,gills,,A
2823,What is the term for the direct manipulation of genes for practical purposes?,genetic cloning,manual engineering,genetic testing,genetic engineering,,D
2829,Define motion.,speed of objects,gravitational pull,distance traveled,change of position,Motion is defined as a change of position.,D
2830,Most tissues regulated by the autonomic nervous system receive both sympathetic and parasympathetic input from?,parasympathetic neurons,Chemosensory center,peristaltic neurons,postganglionic neurons,,A
2834,What is the unit of liquid measurement in the metric system?,cylinder,pint,gallon,liter,Transition metal ions often involve rearrangements of both d and s electrons.,D
2845,What causes natural ripening in fruit?,acid,sulfur,chloride,ethylene,,D
2858,Isotopes have different number of these in their nuclei?,atoms,protons,electrons,neutrons,Isotopes have different numbers of neutrons in their nuclei.,D
2871,"Meiosis, like mitosis, is preceded by the duplication of what?",neutrons,ribosomes,chloroforms,chromosomes,,D
2880,What type of rocks are very useful for determining the deformation history of an area?,crystalline,igneous,limestone,sedimentary,Sedimentary rocks are very useful for determining the deformation history of an area.,D
2891,The sticky stigma at the tip of the carpel receives what?,nitrogen,bacteria,salt,pollen,,D
2898,What are named for major physical or climatic features and for their predominant vegetation?,celestial bodies,terrestrial substrates,geological formations,terrestrial biomes,,B
2905,Full siblings share how many genes with each other?,25%,75%,100%,half,,B
2910,"Rain, snow, sleet, and hail are all examples of what?",liquids,temperature,erosion,precipitation,,D
2912,"Water can be a solid, liquid, and what other form?",plasma,ooze,square,gas,"Water can be a solid, liquid, or a gas.",D
2913,What happens to a species when all of the individuals die out or evolve into a different species?,depletion,accumulation,selection,extinction,Species go extinct when all of the individuals die out or evolve into a different species.,D
2920,"Because glucose is a major cellular fuel, starch represents a supply of what?",carbon,oxygen,hydrogen,energy,,D
2924,How does carbon dioxide chemically weather rocks?,by creating heat,by creating proteins,by creating water,by creating acids,Carbon dioxide chemically weathers rock by creating acids.,D
2927,What type of earthquake has a shallow focus because the plates meet near the surface?,tectonic,gas giant,divergent boundary,transform fault,Transform fault earthquakes have shallow focus because the plates meet near the surface.,D
2931,Nearly all apicomplexans are parasites of what?,fungi,stars,plants,animals,,D
2942,What is used to measure air pressure?,thermometer,metrometer,indicator,barometer,,D
2947,Integral proteins penetrate the hydrophobic interior of the what?,carbon bilayer,metabolism bilayer,skin bilayer,lipid bilayer,,D
2958,"What substances contained in lemons, vinegar, and sour candies have a sour taste?",lactose,proteins,fats,acids,"Acids have a sour taste. Lemons, vinegar, and sour candies all contain acids.",D
2962,What distinguishing feature predates the branching of mammals from other vertebrates?,teeth,adaptation,eggs,backbone,,A
2968,How do we describe chemical reactions?,atomic numbers,balanced reactions,equilibrium,chemical equations,Chemical reactions are described using chemical equations.,D
2971,"The only invertebrates than can fly belong to what broad group, which is highly successful?",bats,spiders,birds,insects,Insects are the only invertebrates than can fly. Flight is the main reason for their success.,D
2975,Where does digestion begin?,oral cavity,spicule cavity,excretory system,gastrovascular cavity,,A
2979,What type of coal deposits are the most extensive ever formed?,jurassic,precambrian,mesozoic,carboniferous,,C
2984,"Structurally, diplomonads have two equal-sized what and multiple flagella?",electrons,atoms,neutrons,nuclei,,D
2986,"Furthermore, most of the proteins within membranes have both hydrophobic and which other regions?",cytosolic,atmospheric,lymphatic,hydrophilic,,D
2988,What process enables all living things to maintain a constant internal environment?,ketosis,peristalsis,consciousness,homeostasis,All living things are able to maintain a constant internal environment through homeostasis.,D
2997,How do mammals ventilate their lungs?,negative pressure vocalizing,negative combination breathing,negative atmospheric breathing,negative pressure breathing,,D
2999,What do you call the fragments of cells involved in the clotting process that are suspended in blood plasma?,hemoglobin,hematocrit,ironites,platelets,,D
3007,"Humans possess greater diversity of what type, compared to laboratory animals?",pathogens,lifespans,elements,genetics,,D
3010,"Wind power, solar power, hydropower, and geothermal power are called renewable sources of energy or what other term?",conservative energy,mandatory energy,specific energy,alternative energy,"Alternative energy sources include wind power, solar power, hydropower, and geothermal power.",D
3020,"When the smooth muscle relaxes, the arterioles dilate, allowing blood to enter the what?",veins,bones,arteries,capillaries,,D
3025,What is usually the prey of a protist?,proteins,pathogens,algae,bacteria,"The protist wraps around its prey, which is usually bacteria.",D
3029,The roots of a plant take in nutrients and what vital substance?,Soil,air,Ash,water,,D
3032,The production of multiple copies of a single gene is called?,gene change,cell cloning,gene variation,gene cloning,,D
3034,Amoebas and paramecia are examples of what?,protists,vertebrates,bacteria,protozoa,Examples of protozoa include amoebas and paramecia.,D
3042,Many organisms look very similar to other organisms because they may be from the same what?,parasites,nutrients,area,species,,D
3048,Varves form in lakes covered by what?,soot,coral reef,bridges,ice,Varves form in lakes covered by ice. Varves are useful to scientists for understanding climate.,D
3049,Speed takes distance and what else into account?,energy,gravity,matter,time,Speed just takes distance and time into account. How might direction be considered as well?.,D
3053,"Air is said to reach what point, a term used by meteorologists, when humidity increases or temperature decreases?",freezing point,bubble point,its dip point,its dew point,Air reaches its dew point when humidity increases or temperature decreases.,D
3054,"In neurons, what often involves gated sodium channels?",polarization,fermentation,excitation,depolarization,,D
3069,What are the two types of earth crust?,amorphous and continental,reflective and continental,micro and continental,oceanic and continental,The crust is less than 1% of Earth by mass. The two types are oceanic crust and continental crust.,D
3071,What is made from the minerals in rocks known as bauxite?,coins,glass,titanium,aluminum,Aluminum is made from the minerals in rocks known as bauxite.,D
3072,What is a defining feature of deformed sedimentary rocks?,not magnetic,not solid,only horizontal,not horizontal,Sedimentary rocks that are not horizontal have been deformed.,D
3073,Resemblance to other species can serve as protection to what category of species?,consumer,producer,predator,prey,,B
3083,Terrestrial animals lose water by evaporation from their skin and which surfaces?,pulmonary,anaerobic,digestive,respiratory,,D
3087,What are the small units that comprise nucleic acids?,chromosomes,genes,filaments,nucleotides,DNA and RNA are nucleic acids. Nucleic acids are built of small units called nucleotides.,D
3091,Different media affect what property of light?,temperature,density,color,speed,The speed of light is different in different media.,D
3092,Signals from rods and cones can follow several different pathways in what structure of the eye?,lens,aperture,aqueous humor,retina,,D
3101,Salts are important in maintaining what balance of the blood?,pulmonary,kinetic,homeostasis,osmotic,,B
3102,What do some animals grow to protect themselves in winter?,thin skin,scales,antennae,thicker fur,,D
3108,"What step, involving placement of a substance on the stigma, precedes fertilization?",hibernation,mitosis,spawning,pollination,,D
3110,The older parts of what structures anchor the plant and transport water and solutes between the soil and shoots?,leaves,cells,bark,roots,,D
3118,What is the production of offspring without gamete fusion called?,organic reproduction,ideal reproduction,sexual reproduction,asexual reproduction,,D
3122,What organelle contains the genetic material of the cell?,meiosis,gamete,fetus,nucleus,The nucleus contains the genetic material of the cell.,D
3127,What is a common name for the descriptive hypothesis that help to understand patterns of descent?,gene mapping,genetic trees,genetic order,evolutionary trees,,C
3130,Latitude affects the amount of which radiation a place receives?,thermal,surface,molecular,solar,Latitude affects the amount of solar radiation a place receives.,D
3133,The force that pulls objects toward the earth is what?,Tension,Friction,Magnetic force,gravity,,D
3135,"One type of tissue, called brown fat, is made up of cells packed full of what?",chromosomes,proteins,Atoms,mitochondria,,D
3141,Red algae and green algae are the closest relatives of what?,water plants,transfer plants,arctic plants,land plants,28.5 Red algae and green algae are the closest relatives of land plants.,D
3161,What produces gametes with different alleles?,chromatids,prokaryotes,anthocyanins,heterozygotes,,D
3163,What is defined as a saturated layer of rock or soil?,culvert,river bank,artesian well,aquifer,An aquifer is a saturated layer of rock or soil.,D
3166,Researchers have also used insect courtship to explore genetic variation underlying differences in what?,instance,reproduction,function,behavior,,C
3168,"In human females, the mammary glands are associated with, but not part of, what organ system that is used to create new humans?",endocrine,immune,digestive,reproductive,,D
3169,What is the term for volcanic mudflows?,cones,plumes,rivers,lahars,"Mudflows or lahars, which are volcanic mudflows, are mass movements that contain a lot of water.",D
3172,Traits inherited in mendelian patterns are either?,recessive or allelic,dominant or autosomal,divergent or dominant,dominant or recessive,,D
3176,What is the term for many different types of animals within the same species?,differentiation,pollution,habitat,diversity,,D
3178,What causes nitrate to go back to its gaseous nitrogen state?,enzymes,phytoflagellate bacteria,decomposers,denitrifying bacteria,Denitrifying bacteria turn nitrate back into gaseous nitrogen.,D
3181,"Arteries carry oxygenated blood away from the heart, what carries un-oxygenated blood back to the heart?",lungs,glands,intestines,veins,,D
3184,Light moving from air into water is bent ___________ the normal?,Longly,less,thinly,more,Light moving from air into water is bent ___________ the normal.,D
