,question,distractor3,distractor1,distractor2,correct_answer,support,long,long_a
1847,"Before the atmosphere became oxygenated, the planet was subjected to what harmful energy source, meaning the first organisms would have flourished where they were more protected?",convection,evaporation,conduction,radiation,"Before the atmosphere became oxygenated, the planet was subjected to strong radiation; thus, the first organisms would have flourished where they were more protected, such as in ocean depths or beneath the surface of Earth. At this time, too, strong volcanic activity was common on Earth, so it is likely that these first organisms—the first prokaryotes—were adapted to very high temperatures. These are not the typical temperate environments in which most life flourishes today; thus, we can conclude that the first organisms that appeared on Earth likely were able to withstand harsh conditions. Microbial mats may represent the earliest forms of life on Earth, and there is fossil evidence of their presence, starting about 3.5 billion years ago. A microbial mat is a large biofilm, a multi-layered sheet of prokaryotes (Figure 13.3a), including mostly bacteria, but also archaea. Microbial mats are a few centimeters thick, and they typically grow on moist surfaces. Their various types of prokaryotes carry out different metabolic pathways, and for this reason, they reflect various colors. Prokaryotes in a microbial mat are held together by a gummy-like substance that they secrete. The first microbial mats likely obtained their energy from hydrothermal vents. A hydrothermal vent is a fissure in Earth’s surface that releases geothermally heated water. With the evolution of photosynthesis about 3 billion years ago, some prokaryotes in microbial mats came to use a more widely available energy source—sunlight—whereas others were still dependent on chemicals from hydrothermal vents for food.",D,D
1848,"Turbulent sounds, at the onset of blood flow when the cuff pressure becomes sufficiently small are called?",choanocyte sounds,pinworm sounds,whooping sounds,korotkoff sounds,"12.5 The Onset of Turbulence Sometimes we can predict if flow will be laminar or turbulent. We know that flow in a very smooth tube or around a smooth, streamlined object will be laminar at low velocity. We also know that at high velocity, even flow in a smooth tube or around a smooth object will experience turbulence. In between, it is more difficult to predict. In fact, at intermediate velocities, flow may oscillate back and forth indefinitely between laminar and turbulent. An occlusion, or narrowing, of an artery, such as shown in Figure 12.17, is likely to cause turbulence because of the irregularity of the blockage, as well as the complexity of blood as a fluid. Turbulence in the circulatory system is noisy and can sometimes be detected with a stethoscope, such as when measuring diastolic pressure in the upper arm’s partially collapsed brachial artery. These turbulent sounds, at the onset of blood flow when the cuff pressure becomes sufficiently small, are called Korotkoff sounds. Aneurysms, or ballooning of arteries, create significant turbulence and can sometimes be detected with a stethoscope. Heart murmurs, consistent with their name, are sounds produced by turbulent flow around damaged and insufficiently closed heart valves. Ultrasound can also be used to detect turbulence as a medical indicator in a process analogous to Doppler-shift radar used to detect storms.",D,D
1854,A ramp is an example of what?,level plane,move plane,change plane,inclined plane,"A ramp like the one in the Figure below is another example of an inclined plane. Inclined planes make it easier to move objects to a higher elevation. The sloping surface of the inclined plane supports part of the weight of the object as it moves up the slope. As a result, it takes less force to move the object uphill. The trade-off is that the object must be moved over a greater distance than if it were moved straight up to the higher elevation. You can see several other examples of inclined planes at this URL:.",D,D
1860,The body contains how many types of muscle tissue?,four,two,seven,three,"38.4 Muscle Contraction and Locomotion The body contains three types of muscle tissue: skeletal muscle, cardiac muscle, and smooth muscle. Skeleton muscle tissue is composed of sarcomeres, the functional units of muscle tissue. Muscle contraction occurs when sarcomeres shorten, as thick and thin filaments slide past each other, which is called the sliding filament model of muscle contraction. ATP provides the energy for cross-bridge formation and filament sliding. Regulatory proteins, such as troponin and tropomyosin, control cross-bridge formation. Excitation–contraction coupling transduces the electrical signal of the neuron, via acetylcholine, to an electrical signal on the muscle membrane, which initiates force production. The number of muscle fibers contracting determines how much force the whole muscle produces.",B,B
1863,All proteins are made of monomers called what?,peptides,monotides,aminotides,amino acids,"Proteins are molecules that have many different functions in living things. All proteins are made of monomers called amino acids ( Figure below ) that connect together like beads on a necklace ( Figure below ). There are only 20 common amino acids needed to build proteins. These amino acids form in thousands of different combinations, making about 100,000 or more unique proteins in humans. Proteins can differ in both the number and order of amino acids. It is the number and order of amino acids that determines the shape of the protein, and it is the shape (structure) of the protein that determines the unique function of the protein. Small proteins have just a few hundred amino acids. The largest proteins have more than 25,000 amino acids.",D,D
1864,What system consists of all the muscles of the body?,endocrine,vascular,digestive,muscular,"The muscular system consists of all the muscles of the body. Does the word muscle make you think of the bulging biceps of a weightlifter, like the man in Figure below ? Muscles such as biceps that move the body are easy to feel and see, but they aren’t the only muscles in the human body. Many muscles are deep within the body. They form the walls of internal organs such as the heart and stomach. You can flex your biceps like a body builder but you cannot control the muscles inside you. It’s a good thing that they work on their own without any conscious effort your part, because movement of these muscles is essential for survival.",D,D
1871,How does a reduced sweating ability affect elderly people?,less energy,loss of mental ability,extreme tiredness,extreme heat intolerance,"The accessory structures also have lowered activity, generating thinner hair and nails, and reduced amounts of sebum and sweat. A reduced sweating ability can cause some elderly to be intolerant to extreme heat. Other cells in the skin, such as melanocytes and dendritic cells, also become less active, leading to a paler skin tone and lowered immunity. Wrinkling of the skin occurs due to breakdown of its structure, which results from decreased collagen and elastin production in the dermis, weakening of muscles lying under the skin, and the inability of the skin to retain adequate moisture. Many anti-aging products can be found in stores today. In general, these products try to rehydrate the skin and thereby fill out the wrinkles, and some stimulate skin growth using hormones and growth factors. Additionally, invasive techniques include collagen injections to plump the tissue and injections of BOTOX® (the name brand of the botulinum neurotoxin) that paralyze the muscles that crease the skin and cause wrinkling.",D,D
1875,Friction does negative work and removes some of the energy the person expends and converts it to which kind of energy?,evaporation,erosion,hydro,thermal,"Discussion for (a) This value is the net work done on the package. The person actually does more work than this, because friction opposes the motion. Friction does negative work and removes some of the energy the person expends and converts it to thermal energy. The net work equals the sum of the work done by each individual force. Strategy and Concept for (b) The forces acting on the package are gravity, the normal force, the force of friction, and the applied force. The normal force and force of gravity are each perpendicular to the displacement, and therefore do no work. Solution for (b) The applied force does work.",D,C
1880,Free-flowing electrons enable what materials to conduct electricity and heat very well?,acids,noble gases,alloys,metals,"This model for metallic bonding explains some of the physical properties of metals. Metals conduct electricity and heat very well because of their free-flowing electrons. As electrons enter one end of a piece of metal, an equal number of electrons flow outward from the other end, allowing an electrical current to pass through the material with minimal resistance. Additionally, because the electron ""glue"" that holds the metal atoms together is very easy to deform and reshape, bulk metals can be easily hammered, bent, and pulled without breaking apart.",D,D
1881,What is the difference in voltage across a resistor or other electrical devices called?,power drop,volt effect,falling voltage,voltage drop,"The name electric current is the name given to the phenomenon that occurs when an electric field moves down a wire at close to the speed of light. Voltage is the electrical energy density that causes the electric current. Resistance is the amount a device in the wire resists the flow of current by converting electrical energy into other forms of energy. A device, the resistor, could be a light bulb, transferring electrical energy into heat and light or an electric motor that converts electric energy into mechanical energy. The difference in Voltage across a resistor or other electrical device is called the voltage drop.",C,C
1882,What is the science that describes the ancestral and descendant connections between organisms?,polygamy,experimentally,organic science,phylogeny,"Building Phylogenetic Trees with Analysis of DNA Sequence Alignments All living organisms display patterns of relationships derived from their evolutionary history. Phylogeny is the science that describes the relative connections between organisms, in terms of ancestral and descendant species. Phylogenetic trees, such as the plant evolutionary history shown in Figure 26.7, are tree-like branching diagrams that depict these relationships. Species are found at the tips of the branches. Each branching point, called a node, is the point at which a single taxonomic group (taxon), such as a species, separates into two or more species.",D,D
1883,"According to collision theory, particles that lack what kind of energy may collide, but the particles will simply bounce off one another unchanged?",viscosity energy,elastic energy,residual energy,kinetic energy,"The behavior of the atoms, molecules, or ions that comprise the reactants is responsible for the rates of a given chemical reaction. Collision theory is a set of principles that states that the reacting particles can form products when they collide with one another provided those collisions have enough kinetic energy and the correct orientation. Particles that lack the necessary kinetic energy may collide, but the particles will simply bounce off one another unchanged. The figure below illustrates the difference. In the first collision, the particles bounce off one another and no rearrangement of atoms has occurred. The second collision occurs with greater kinetic energy, and so the bond between the two red atoms breaks. One red atom bonds with the other molecule as one product, while the single red atom is the other product. The first collision is called an ineffective collision , while the second collision is called an effective collision .",D,C
1888,What type of symmetry do echinoderms show?,parallel,mirrored,lateral,radial,"As mentioned earlier, echinoderms show radial symmetry. Other key echinoderm features include an internal skeleton and spines, as well as a few organs and organ systems. Although echinoderms look like they have a hard exterior, they do not have an external skeleton. Instead, a thin outer skin covers an internal skeleton made of tiny plates and spines. This provides rigid support. Some groups of echinoderms, such as sea urchins ( Figure below ), have spines that protect the organism. Sea cucumbers use these spines to help them move.",D,D
1892,What field of study is called the language of science?,physics,logic,linguistics,mathematics,"The field of science has gotten so big that it is common to separate it into more specific fields. First, there is mathematics, the language of science. All scientific fields use mathematics to express themselves—some more than others. Physics and astronomy are scientific fields concerned with the fundamental interactions between matter and energy. Chemistry, as defined previously, is the study of the interactions of matter with other matter and with energy. Biology is the study of living organisms, while geology is the study of the earth. Other sciences can be named as well. Understand that these fields are not always completely separate; the boundaries between scientific fields are not always readily apparent. Therefore, a scientist may be labeled a biochemist if he or she studies the chemistry of biological organisms. Finally, understand that science can be either qualitative or quantitative. Qualitative implies a description of the quality of an object. For example, physical properties are generally qualitative descriptions: sulfur is yellow, your math book is heavy, or that statue is pretty. A quantitative description represents the specific amount of something; it means knowing how much of something is present, usually by counting or measuring it. As such, some quantitative descriptions would include 25 students in a class, 650 pages in a book, or a velocity of 66 miles per hour. Quantitative expressions are very important in science; they are also very important in chemistry.",D,D
1896,The change in the characteristics of living things over time is known as _________,generation,spontaneous mutation,variation,evolution,"Evolution is a change in the characteristics of living things over time. Evolution occurs by a process called natural selection. In natural selection, some living things produce more offspring than others, so they pass more genes to the next generation than others do. Over many generations, this can lead to major changes in the characteristics of living things. Evolution explains how living things are changing today and how modern living things have descended from ancient life forms that no longer exist on Earth.",D,D
1904,Genes are used to make mrna by the process of transcription; mrna is used to synthesize proteins by the process of what?,modification,production,moderation,translation,"9.4 Translation The central dogma describes the flow of genetic information in the cell from genes to mRNA to proteins. Genes are used to make mRNA by the process of transcription; mRNA is used to synthesize proteins by the process of translation. The genetic code is the correspondence between the three-nucleotide mRNA codon and an amino acid. The genetic code is “translated” by the tRNA molecules, which associate a specific codon with a specific amino acid. The genetic code is degenerate because 64 triplet codons in mRNA specify only 20 amino acids and three stop codons. This means that more than one codon corresponds to an amino acid. Almost every species on the planet uses the same genetic code. The players in translation include the mRNA template, ribosomes, tRNAs, and various enzymatic factors. The small ribosomal subunit binds to the mRNA template. Translation begins at the initiating AUG on the mRNA. The formation of bonds occurs between sequential amino acids specified by the mRNA template according to the genetic code. The ribosome accepts charged tRNAs, and as it steps along the mRNA, it catalyzes bonding between the new amino acid and the end of the growing polypeptide. The entire mRNA is translated in three-nucleotide “steps” of the ribosome. When a stop codon is encountered, a release factor binds and dissociates the components and frees the new protein.",D,C
1908,"If humans were to artificially intervene and fertilize the egg of a bald eagle with the sperm of an african fish eagle and a chick did hatch, that offspring, called a hybrid (a cross between two species), would probably be this?",mutated,fertile,nonviable,infertile,"In other cases, individuals may appear similar although they are not members of the same species. For example, even though bald eagles (Haliaeetus leucocephalus) and African fish eagles (Haliaeetus vocifer) are both birds and eagles, each belongs to a separate species group (Figure 18.10). If humans were to artificially intervene and fertilize the egg of a bald eagle with the sperm of an African fish eagle and a chick did hatch, that offspring, called a hybrid (a cross between two species), would probably be infertile—unable to successfully reproduce after it reached maturity. Different species may have different genes that are active in development; therefore, it may not be possible to develop a viable offspring with two different sets of directions. Thus, even though hybridization may take place, the two species still remain separate.",D,C
1909,What causes lightning during a thunderstorm?,difference in temperature,difference in wind,difference in elevation,difference in charge,"During a thunderstorm, some parts of a thunderhead become negatively charged. Other parts become positively charged. The difference in charge creates lightning. Lightning is a huge release of electricity. Lightning can jump between oppositely charged parts of the same cloud, between one cloud and another, or between a cloud and the ground. You can see lightning in Figure below . Lightning blasts the air with energy. The air heats and expands so quickly that it explodes. This creates the loud sound of thunder .",D,A
1910,The human heart is located within what cavity?,abdominal,pelvic,spinal,thoracic,"Location of the Heart The human heart is located within the thoracic cavity, medially between the lungs in the space known as the mediastinum. Figure 19.2 shows the position of the heart within the thoracic cavity. Within the mediastinum, the heart is separated from the other mediastinal structures by a tough membrane known as the pericardium, or pericardial sac, and sits in its own space called the pericardial cavity. The dorsal surface of the heart lies near the bodies of the vertebrae, and its anterior surface sits deep to the sternum and costal cartilages. The great veins, the superior and inferior venae cavae, and the great arteries, the aorta and pulmonary trunk, are attached to the superior surface of the heart, called the base. The base of the heart is located at the level of the third costal cartilage, as seen in Figure 19.2. The inferior tip of the heart, the apex, lies just to the left of the sternum between the junction of the fourth and fifth ribs near their articulation with the costal cartilages. The right side of the heart is deflected anteriorly, and the left side is deflected posteriorly. It is important to remember the position and orientation of the heart when placing a stethoscope on the chest of a patient and listening for heart sounds, and also when looking at images taken from a midsagittal perspective. The slight deviation of the apex to the left is reflected in a depression in the medial surface of the inferior lobe of the left lung, called the cardiac notch.",D,D
1916,"Loss of what eventually threatens other species not impacted directly, because of their interconnectedness; as species disappear from an ecosystem others are threatened by changes in available resources?",climate,technology,oxygen,biodiversity,"Community Dynamics Community dynamics are the changes in community structure and composition over time. Sometimes these changes are induced by environmental disturbances such as volcanoes, earthquakes, storms, fires, and climate change. Communities with a stable structure are said to be at equilibrium. Following a disturbance, the community may or may not return to the equilibrium state. Succession describes the sequential appearance and disappearance of species in a community over time. In primary succession, newly exposed or newly formed land is colonized by living things; in secondary succession, part of an ecosystem is disturbed and remnants of the previous community remain. Primary Succession and Pioneer Species Primary succession occurs when new land is formed or rock is exposed: for example, following the eruption of volcanoes, such as those on the Big Island of Hawaii. As lava flows into the ocean, new land is continually being formed. On the Big Island, approximately 32 acres of land is added each year. First, weathering and other natural forces break down the substrate enough for the establishment of certain hearty plants and lichens with few soil requirements, known as pioneer species (Figure 45.32). These species help to further break down the mineral rich lava into soil where other, less hardy species will grow and eventually replace the pioneer species. In addition, as these early species grow and die, they add to an ever-growing layer of decomposing organic material and contribute to soil formation. Over time the area will reach an equilibrium state, with a set of organisms quite different from the pioneer species.",D,D
1918,What is the term of a phase change if solid water has it's average kinetic energy increased to change it to liquid water?,evaporation,boiling,freezing,melting,"Problem-Solving Strategies for the Effects of Heat Transfer 1. Examine the situation to determine that there is a change in the temperature or phase. Is there heat transfer into or out of the system? When the presence or absence of a phase change is not obvious, you may wish to first solve the problem as if there were no phase changes, and examine the temperature change obtained. If it is sufficient to take you past a boiling or melting point, you should then go back and do the problem in steps—temperature change, phase change, subsequent temperature change, and so on. Identify and list all objects that change temperature and phase. Identify exactly what needs to be determined in the problem (identify the unknowns). A written list is useful. Make a list of what is given or what can be inferred from the problem as stated (identify the knowns). Solve the appropriate equation for the quantity to be determined (the unknown). If there is a temperature change, the transferred heat depends on the specific heat (see Table 14.1) whereas, for a phase change, the transferred heat depends on the latent heat. See Table 14.2. Substitute the knowns along with their units into the appropriate equation and obtain numerical solutions complete with units. You will need to do this in steps if there is more than one stage to the process (such as a temperature change followed by a phase change). Check the answer to see if it is reasonable: Does it make sense? As an example, be certain that the temperature change does not also cause a phase change that you have not taken into account.",C,C
1920,Virtually all of the effects of pregnancy can be attributed in some way to the influence of what?,acids,proteins,enzymes,hormones,"Effects of Hormones Virtually all of the effects of pregnancy can be attributed in some way to the influence of hormones—particularly estrogens, progesterone, and hCG. During weeks 7–12 from the LMP, the pregnancy hormones are primarily generated by the corpus luteum. Progesterone secreted by the corpus luteum stimulates the production of decidual cells of the endometrium that nourish the blastocyst before placentation. As the placenta develops and the corpus luteum degenerates during weeks 12–17, the placenta gradually takes over as the endocrine organ of pregnancy. The placenta converts weak androgens secreted by the maternal and fetal adrenal glands to estrogens, which are necessary for pregnancy to progress. Estrogen levels climb throughout the pregnancy, increasing 30-fold by childbirth. Estrogens have the following actions: • They suppress FSH and LH production, effectively preventing ovulation. (This function is the biological basis of hormonal birth control pills. ) • They induce the growth of fetal tissues and are necessary for the maturation of the fetal lungs and liver. • They promote fetal viability by regulating progesterone production and triggering fetal synthesis of cortisol, which helps with the maturation of the lungs, liver, and endocrine organs such as the thyroid gland and adrenal gland. • They stimulate maternal tissue growth, leading to uterine enlargement and mammary duct expansion and branching. Relaxin, another hormone secreted by the corpus luteum and then by the placenta, helps prepare the mother’s body for childbirth. It increases the elasticity of the symphysis pubis joint and pelvic ligaments, making room for the growing fetus and allowing expansion of the pelvic outlet for childbirth. Relaxin also helps dilate the cervix during labor.",D,D
1923,What type of numerical figure is important in considering the precision and accuracy of a number?,exponent,component,insignificant,significant,"Next, we identify the least precise measurement: 13.7 kg. This measurement is expressed to the 0.1 decimal place, so our final answer must also be expressed to the 0.1 decimal place. Thus, the answer is rounded to the tenths place, giving us 15.2 kg. Significant Figures in this Text In this text, most numbers are assumed to have three significant figures. Furthermore, consistent numbers of significant figures are used in all worked examples. You will note that an answer given to three digits is based on input good to at least three digits, for example. If the input has fewer significant figures, the answer will also have fewer significant figures. Care is also taken that the number of significant figures is reasonable for the situation posed. In some topics, particularly in optics, more accurate numbers are needed and more than three significant figures will be used. Finally, if a number is exact, such as the two in the formula for the circumference of a circle, c = 2πr , it does not affect the number of significant figures in a calculation.",D,D
1925,What type of cell does the sperm cell fertilize?,protein,fat,bacteria,egg,"Together with random fertilization, more possibilities for genetic variation exist between any two people than the number of individuals alive today. Sexual reproduction is the random fertilization of a gamete from the female using a gamete from the male. In humans, over 8 million (2 23 ) chromosome combinations exist in the production of gametes in both the male and female. Essentially, when the homologous pairs of chromosomes line up during metaphase I and then are separated at anaphase I, there are (2 23 ) possible combinations of maternal and paternal chromosomes. During random fertilization, a sperm cell, with over 8 million possible chromosome combinations, fertilizes an egg cell, which also has over 8 million possible chromosome combinations. Together, there are over 64 trillion unique combinations, not counting the additional variation produced by crossing-over during prophase I. In other words, each human couple could produce a child with over 64 trillion unique chromosome combinations!.",D,D
1926,Where does the most important monsoon in the world occur?,northern africa,the atlantic ocean,eastern aisa,southern asia,"Monsoons are like land and sea breezes, but on a larger scale. They occur because of seasonal changes in the temperature of land and water. In the winter, they blow from land to water. In the summer, they blow from water to land. In regions that experience monsoons, the seawater offshore is extremely warm. The hot air absorbs a lot of the moisture and carries it over the land. Summer monsoons bring heavy rains on land. Monsoons occur in several places around the globe. The most important monsoon in the world is in southern Asia ( Figure below ). These monsoons are important because they carry water to the many people who live there.",D,D
1931,"Radiotherapy is effective against cancer because cancer cells reproduce rapidly and, consequently, are more sensitive to this?",destruction,UV light,separation,radiation,"Radiotherapy is effective against cancer because cancer cells reproduce rapidly and, consequently, are more sensitive to radiation. The central problem in radiotherapy is to make the dose for cancer cells as high as possible while limiting the dose for normal cells. The ratio of abnormal cells killed to normal cells killed is called the therapeutic ratio, and all radiotherapy techniques are designed to enhance this ratio. Radiation can be concentrated in cancerous tissue by a number of techniques. One of the most prevalent techniques for well-defined tumors is a geometric technique shown in Figure 32.13. A narrow beam of radiation is passed through the patient from a variety of directions with a common crossing point in the tumor. This concentrates the dose in the tumor while spreading it out over a large volume of normal tissue. The external radiation can be x-rays, 60 Co γ rays, or ionizing-particle beams produced by accelerators. Accelerator-produced beams of neutrons, π-mesons , and heavy ions such as nitrogen nuclei have been employed, and these can be quite effective. These particles have larger QFs or RBEs and sometimes can be better localized, producing a greater therapeutic ratio. But accelerator radiotherapy is much more expensive and less frequently employed than other forms.",D,D
1932,What type of cells are multiple small spaces located in the right and left sides of the ethmoid bone?,amniotic sacs,alveoli,ethmoid vacuoles,ethmoid air cells,"Figure 7.18 Paranasal Sinuses The paranasal sinuses are hollow, air-filled spaces named for the skull bone that each occupies. The most anterior is the frontal sinus, located in the frontal bone above the eyebrows. The largest are the maxillary sinuses, located in the right and left maxillary bones below the orbits. The most posterior is the sphenoid sinus, located in the body of the sphenoid bone, under the sella turcica. The ethmoid air cells are multiple small spaces located in the right and left sides of the ethmoid bone, between the medial wall of the orbit and lateral wall of the upper nasal cavity.",D,D
1933,"When what element - whose name means ""light bringing"" - was first isolated, scientists noted that it glowed in the dark and burned when exposed to air?",neon,oxygen,mercury,phosphorus,"Phosphorus The name phosphorus comes from the Greek words meaning light bringing. When phosphorus was first isolated, scientists noted that it glowed in the dark and burned when exposed to air. Phosphorus is the only member of its group that does not occur in the uncombined state in nature; it exists in many allotropic forms. We will consider two of those forms: white phosphorus and red phosphorus. White phosphorus is a white, waxy solid that melts at 44.2 °C and boils at 280 °C. It is insoluble in water (in which it is stored—see Figure 18.24), is very soluble in carbon disulfide, and bursts into flame in air. As a solid, as a liquid, as a gas, and in solution, white phosphorus exists as P4 molecules with four phosphorus atoms at the corners of a regular tetrahedron, as illustrated in Figure 18.24. Each phosphorus atom covalently bonds to the other three atoms in the molecule by single covalent bonds. White phosphorus is the most reactive allotrope and is very toxic.",D,D
1936,What are the most abundant unicellular algae in the oceans?,staurikosaurus,chlorella,sporozoans,chryosophytes,"22.11.4 Chryosophytes Chryosophytes are the most abundant unicellular algae in the oceans. They are also one of the biggest components of plankton, a free-floating collection of microorganisms, eggs, and larvae. As photosynthetic organisms, they produce a significant amount of atmospheric oxygen. The reproduction cycle of chryosophytes is particularly interesting. Note that diatoms reproduce both asexually and sexually. Since diatoms have a rigid cell wall with an outer layer of silica (found in sand and glass), the daughter cells produced by mitosis must fit inside the original cell wall. Therefore, each generation of diatoms is smaller than the one before. The reduction in size continues until the diatoms produce sexually, producing a zygote which eventually grows to the original size as it matures.",D,D
1937,What term is used to describe the cellular structures responsible for protein synthesis?,nuclei,chromosomes,chloroplasts,ribosomes,"Ribosomes Ribosomes are the cellular structures responsible for protein synthesis. When viewed through an electron microscope, free ribosomes appear as either clusters or single tiny dots floating freely in the cytoplasm. Ribosomes may be attached to either the cytoplasmic side of the plasma membrane or the cytoplasmic side of the endoplasmic reticulum (Figure 3.7). Electron microscopy has shown that ribosomes consist of large and small subunits. Ribosomes are enzyme complexes that are responsible for protein synthesis. Because protein synthesis is essential for all cells, ribosomes are found in practically every cell, although they are smaller in prokaryotic cells. They are particularly abundant in immature red blood cells for the synthesis of hemoglobin, which functions in the transport of oxygen throughout the body.",D,D
1944,What are specialized cells that are capable of sending electrical as well as chemical signals?,enzymes,hormones,ions,neurons,"16.6 Nervous System The nervous system is made up of neurons and glia. Neurons are specialized cells that are capable of sending electrical as well as chemical signals. Most neurons contain dendrites, which receive these signals, and axons that send signals to other neurons or tissues. Glia are non-neuronal cells in the nervous system that support neuronal development and signaling. There are several types of glia that serve different functions. Neurons have a resting potential across their membranes and when they are stimulated by a strong enough signal from another neuron an action potential may carry an electrochemical signal along the neuron to a synapse with another neuron. Neurotransmitters carry signals across synapses to initiate a response in another neuron. The vertebrate central nervous system contains the brain and the spinal cord, which are covered and protected by three meninges. The brain contains structurally and functionally defined regions. In mammals, these include the cortex (which can be broken down into four primary functional lobes: frontal, temporal, occipital, and parietal), basal ganglia, thalamus, hypothalamus, limbic system, cerebellum, and brainstem—although structures in some of these designations overlap. While functions may be primarily localized to one structure in the brain, most complex functions, like language and sleep, involve neurons in multiple brain regions. The spinal cord is the information superhighway that connects the brain with the rest of the body through its connections with peripheral nerves. It transmits sensory and motor input and also controls motor reflexes. The peripheral nervous system contains both the autonomic and sensory-somatic nervous systems. The autonomic nervous system provides unconscious control over visceral functions and has two divisions: the sympathetic and parasympathetic nervous systems. The sympathetic nervous system is activated in stressful situations to prepare the animal for a “fight-orflight” response. The parasympathetic nervous system is active during restful periods. The sensory-somatic nervous system is made of cranial and spinal nerves that transmit sensory information from skin and muscle to the CNS and motor commands from the CNS to the muscles.",D,D
1946,"Compounds containing an atom of what element, bonded in a hydrocarbon framework, are classified as amines?",ammonia,oxygen,hydrogen,nitrogen,"20.2 Alcohols and Ethers Many organic compounds that are not hydrocarbons can be thought of as derivatives of hydrocarbons. A hydrocarbon derivative can be formed by replacing one or more hydrogen atoms of a hydrocarbon by a functional group, which contains at least one atom of an element other than carbon or hydrogen. The properties of hydrocarbon derivatives are determined largely by the functional group. The –OH group is the functional group of an alcohol. The –R–O–R– group is the functional group of an ether. 20.3 Aldehydes, Ketones, Carboxylic Acids, and Esters Functional groups related to the carbonyl group include the –CHO group of an aldehyde, the –CO– group of a ketone, the –CO2H group of a carboxylic acid, and the –CO2R group of an ester. The carbonyl group, a carbon-oxygen double bond, is the key structure in these classes of organic molecules: Aldehydes contain at least one hydrogen atom attached to the carbonyl carbon atom, ketones contain two carbon groups attached to the carbonyl carbon atom, carboxylic acids contain a hydroxyl group attached to the carbonyl carbon atom, and esters contain an oxygen atom attached to another carbon group connected to the carbonyl carbon atom. All of these compounds contain oxidized carbon atoms relative to the carbon atom of an alcohol group. 20.4 Amines and Amides The addition of nitrogen into an organic framework leads to two families of molecules. Compounds containing a nitrogen atom bonded in a hydrocarbon framework are classified as amines. Compounds that have a nitrogen atom bonded to one side of a carbonyl group are classified as amides. Amines are a basic functional group. Amines and carboxylic acids can combine in a condensation reaction to form amides.",D,D
1950,The reaction rate usually increases as the concentration of what increases?,complexes,generators,mutations,reactants,"Concentration Effects Two substances cannot possibly react with each other unless their constituent particles (molecules, atoms, or ions) come into contact. If there is no contact, the reaction rate will be zero. Conversely, the more reactant particles that collide per unit time, the more often a reaction between them can occur. Consequently, the reaction rate usually increases as the concentration of the reactants increases. One example of this effect is the reaction of sucrose (table sugar) with sulfuric acid, which is shown in Figure 14.1 ""The Effect of Concentration on Reaction Rates"".",C,C
1955,What do jellyfish lack in their nervous system?,Cortex,stimulus,Response,true brain,"Nervous systems throughout the animal kingdom vary in structure and complexity, as illustrated by the variety of animals shown in Figure 35.2. Some organisms, like sea sponges, lack a true nervous system. Others, like jellyfish, lack a true brain and instead have a system of separate but connected nerve cells (neurons) called a “nerve net. ” Echinoderms such as sea stars have nerve cells that are bundled into fibers called nerves. Flatworms of the phylum Platyhelminthes have both a central nervous system (CNS), made up of a small “brain” and two nerve cords, and a peripheral nervous system (PNS) containing a system of nerves that extend throughout the body. The insect nervous system is more complex but also fairly decentralized. It contains a brain, ventral nerve cord, and ganglia (clusters of connected neurons). These ganglia can control movements and behaviors without input from the brain. Octopi may have the most complicated of invertebrate nervous systems—they have neurons that are organized in specialized lobes and eyes that are structurally similar to vertebrate species.",D,D
1959,"Vertebrates have evolved more complex digestive systems, with some species having multi-chambered types of what organ?",heart,respiratory,skin,stomach,"Vertebrate Digestive Systems Vertebrates have evolved more complex digestive systems to adapt to their dietary needs. Some animals have a single stomach, while others have multi-chambered stomachs. Birds have developed a digestive system adapted to eating unmasticated food. Monogastric: Single-chambered Stomach As the word monogastric suggests, this type of digestive system consists of one (“mono”) stomach chamber (“gastric”). Humans and many animals have a monogastric digestive system as illustrated in Figure 34.6ab. The process of digestion begins with the mouth and the intake of food. The teeth play an important role in masticating (chewing) or physically breaking down food into smaller particles. The enzymes present in saliva also begin to chemically break down food. The esophagus is a long tube that connects the mouth to the stomach. Using peristalsis, or wave-like smooth muscle contractions, the muscles of the esophagus push the food towards the stomach. In order to speed up the actions of enzymes in the stomach, the stomach is an extremely acidic environment, with a pH between 1.5 and 2.5. The gastric juices, which include enzymes in the stomach, act on the food particles and continue the process of digestion. Further breakdown of food takes place in the small intestine where enzymes produced by the liver, the small intestine, and the pancreas continue the process of digestion. The nutrients are absorbed into the blood stream across the epithelial cells lining the walls of the small intestines. The waste material travels on to the large intestine where water is absorbed and the drier waste material is compacted into feces; it is stored until it is excreted through the rectum.",D,D
1960,"A trait controlled by a single gene that has two alleles is given what name, after the scientist who studied inheritance?",carlinian trait,darwinian trait,rosilin trait,mendelian trait,"A Mendelian trait is a trait that is controlled by a single gene that has two alleles. One of these alleles is dominant and the other is recessive. Many inheritable conditions in humans are passed to offspring in a simple Mendelian fashion. Medical professionals use Mendel’s laws to predict and understand the inheritance of certain traits in their patients. Also, farmers, animal breeders, and horticulturists who breed organisms can predict outcomes of crosses by understanding Mendelian inheritance and probability.",D,D
